[2026-03-25 00:43:18.986] 11072  INFO [main] --- CrawlFacade: JAVA CLASS PATH = C:\Users\cloud\AppData\Local\Temp\classpath220155016.jar;D:\Program Files\JetBrains\IntelliJ IDEA 2021.3.3\lib\idea_rt.jar
 [2026-03-25 00:43:23.210] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jackson2ObjectMapperBuilderCustomizer' of type [com.ring.welkin.common.config.JacksonConfig$1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.212] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.228] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties' of type [org.springframework.boot.autoconfigure.jackson.JacksonProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.233] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'standardJacksonObjectMapperBuilderCustomizer' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.237] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.250] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'parameterNamesModule' of type [com.fasterxml.jackson.module.paramnames.ParameterNamesModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.254] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.265] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jsonComponentModule' of type [org.springframework.boot.jackson.JsonComponentModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.275] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jsonMixinModule' of type [org.springframework.boot.jackson.JsonMixinModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.282] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonObjectMapperBuilder' of type [org.springframework.http.converter.json.Jackson2ObjectMapperBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.314] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonObjectMapper' of type [com.fasterxml.jackson.databind.ObjectMapper] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.354] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.356] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.360] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.664] 11072  INFO [main] --- ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 2257 ms
 [2026-03-25 00:43:25.794] 11072  INFO [main] --- ThreadPoolTaskExecutorConfig: Start a new ThreadPoolTaskExecutor: threadNamePrefix [thread-pool-],corePoolSize [20],maxPoolSize [30],queueCapacity [1000].
 [2026-03-25 00:43:25.796] 11072  INFO [main] --- ThreadPoolTaskExecutorConfig: ThreadPoolTaskExecutor initialized: threadNamePrefix [thread-pool-], poolSize [0], activeCount [0].
 [2026-03-25 00:43:28.666] 11072  INFO [main] --- EndpointLinksResolver: Exposing 1 endpoint(s) beneath base path '/actuator'
 [2026-03-25 00:43:29.063] 11072  INFO [main] --- threads: JBoss Threads version 3.1.0.Final
 [2026-03-25 00:43:29.099] 11072  INFO [main] --- UndertowWebServer: Undertow started on port(s) 8888 (http) with context path '/crawl'
 [2026-03-25 00:43:31.448] 11072  INFO [main] --- CrawlFacade: Started CrawlFacade in 12.321 seconds (JVM running for 15.455)
 [2026-03-25 00:43:31.449] 11072  INFO [main] --- IpTaskInitializer: 初始化开始
 [2026-03-25 00:43:32.518]   INFO [RMI TCP Connection(3)-192.168.137.1] --- DispatcherServlet: Initializing Servlet 'dispatcherServlet'
 [2026-03-25 00:43:32.521]   INFO [RMI TCP Connection(3)-192.168.137.1] --- DispatcherServlet: Completed initialization in 1 ms
 [2026-03-25 10:08:40.208] 2436  INFO [main] --- CrawlFacade: JAVA CLASS PATH = C:\Users\cloud\AppData\Local\Temp\classpath1227463596.jar;D:\Program Files\JetBrains\IntelliJ IDEA 2021.3.3\lib\idea_rt.jar
 [2026-03-25 10:08:42.739] 2436  INFO [main] --- CrawlFacade: The following 1 profile is active: "dev"
 [2026-03-25 10:08:44.416] 2436  INFO [main] --- GenericScope: BeanFactory id=4ef726a0-46ed-3a3b-bc9c-f0b294385819
 [2026-03-25 10:08:44.678] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.682] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.688] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonConfig' of type [com.ring.welkin.common.config.JacksonConfig$$EnhancerBySpringCGLIB$$1bb26859] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.698] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.702] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.705] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$444/1929576211] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.709] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.714] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonConfig.JacksonExtSerializationProperties' of type [com.ring.welkin.common.config.JacksonConfig$JacksonExtSerializationProperties$$EnhancerBySpringCGLIB$$66449b0a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.724] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jackson2ObjectMapperBuilderCustomizer' of type [com.ring.welkin.common.config.JacksonConfig$1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.726] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.741] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'spring.jackson-org.springframework.boot.autoconfigure.jackson.JacksonProperties' of type [org.springframework.boot.autoconfigure.jackson.JacksonProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.746] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'standardJacksonObjectMapperBuilderCustomizer' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$Jackson2ObjectMapperBuilderCustomizerConfiguration$StandardJackson2ObjectMapperBuilderCustomizer] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.750] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$ParameterNamesModuleConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.763] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'parameterNamesModule' of type [com.fasterxml.jackson.module.paramnames.ParameterNamesModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.767] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.777] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jsonComponentModule' of type [org.springframework.boot.jackson.JsonComponentModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.787] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jsonMixinModule' of type [org.springframework.boot.jackson.JsonMixinModule] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.794] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonObjectMapperBuilder' of type [org.springframework.http.converter.json.Jackson2ObjectMapperBuilder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.825] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonObjectMapper' of type [com.fasterxml.jackson.databind.ObjectMapper] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.864] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.867] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:44.871] 2436  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 10:08:45.163] 2436  INFO [main] --- ServletWebServerApplicationContext: Root WebApplicationContext: initialization completed in 2398 ms
 [2026-03-25 10:08:47.471] 2436  INFO [main] --- ThreadPoolTaskExecutorConfig: Start a new ThreadPoolTaskExecutor: threadNamePrefix [thread-pool-],corePoolSize [20],maxPoolSize [30],queueCapacity [1000].
 [2026-03-25 10:08:47.473] 2436  INFO [main] --- ThreadPoolTaskExecutorConfig: ThreadPoolTaskExecutor initialized: threadNamePrefix [thread-pool-], poolSize [0], activeCount [0].
 [2026-03-25 10:08:50.181] 2436  INFO [main] --- EndpointLinksResolver: Exposing 1 endpoint(s) beneath base path '/actuator'
 [2026-03-25 10:08:50.594] 2436  INFO [main] --- threads: JBoss Threads version 3.1.0.Final
 [2026-03-25 10:08:50.630] 2436  INFO [main] --- UndertowWebServer: Undertow started on port(s) 8888 (http) with context path '/crawl'
 [2026-03-25 10:08:52.932] 2436  INFO [main] --- CrawlFacade: Started CrawlFacade in 12.55 seconds (JVM running for 15.46)
 [2026-03-25 10:08:52.934] 2436  INFO [main] --- IpTaskInitializer: 初始化开始
 [2026-03-25 10:08:54.238]   INFO [RMI TCP Connection(3)-192.168.137.1] --- DispatcherServlet: Initializing Servlet 'dispatcherServlet'
 [2026-03-25 10:08:54.241]   INFO [RMI TCP Connection(3)-192.168.137.1] --- DispatcherServlet: Completed initialization in 3 ms
 [2026-03-25 10:09:32.444]   INFO [XNIO-1 task-1] --- IpController: abc
 
